CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
aeroplane_factory;Fabbrica di Aeroplani;;;;;;;;;;;;;x
aeroplane_factory_desc;La maggior parte dei velivoli dell'epoca è costruita in legno, utilizzando giunti in metallo per unire le parti, e facendo uso di fili armonici o cavi di filo d'acciaio per il sostegno. La costruzione in legno di solito richiedeva molti diversi tipi di legname, con un uso accorto di legno diverso in base alle sue proprietà meccaniche e in genere erano coperti da vari tessuti come cotone gommato e seta verniciata. Il primo modello di motore largamente usato per alimentare i velivoli era il motore Antoinette V-8 raffreddato ad acqua, che si ritiene essere il primo motore a combustione interna con 8 cilindri a V messo in produzione.;;;;;;;;;;;;;x
ammunition_factory;Fabbrica di Munizioni;;;;;;;;;;;;;x
ammunition_factory_desc;La foggiatura, piuttosto che la colata, era la tecnica preferita di produzione per le munizioni durante il XIX secolo. I proiettili foggiati sono proiettili prodotti tramite la fusione di metalli a temperatura ambiente in una matrice per far avere a loro la forma di un proiettile. L'altro metodo di produzione è la colata, che consiste in metalli fusi versati in uno stampo. Gli svantaggi divennero evidenti quando le ricariche cominciarono ad usare polvere da sparo senza fumo alla fine dell'Ottocento e i produttori di munizioni militari ad alta velocità modificarono il loro processo di foggiatura dei proiettili per applicare un sottile strato di metallo più resistente sopra il proiettile di piombo.;;;;;;;;;;;;;x
artillery_factory;Fabbrica di Artiglieria;;;;;;;;;;;;;x
artillery_factory_desc;La prima fase nella produzione dell'artiglieria consiste nel creare un modello esatto del cannone, mortaio o obice. Questo è poi costruito su un perno affusolato in legno, lungo tra i 2 e i 4 metri e dal diametro inferiore di circa 5 centimetri rispetto al modello. Il perno è posizionato su un telaio rotante in legno e coperto con grasso o sapone per essere facilitati nella sua eventuale rimozione dallo stampo. La superificie interna è ricoperta da uno strato di miscela di soda caustica per prevnire che il metallo fuso della colata aderisca alle pareti dello stampo. Lo stampo è quindi portato alla buca di fusione per essere ricotto.;;;;;;;;;;;;;x
automobile_factory;Fabbrica di Automobili;;;;;;;;;;;;;x
automobile_factory_desc;Le prime automobili, note come "Carrozze senza cavallo", erano semplici veicoli con motori a combustione a due o quattro tempi con una potenza di 2/3 cavalli vapore (0.50 kW) a 250 giri/min. Comprendendevano un basamento aperto e l'uso di una valvola a fungo per il tubo di scappamento, un largo volano orizzontale che stabilizzava la potenza del motore a cilindro singolo e un carburatore evaporativo controllato da una valvola a fodero per regolare la potenza e la velocità del motore. Erano prodotte in piccole botteghe, ma ciò cambiò in fretta. Avvenne anche la sostituzione del semplice telaio aperto in metallo con una scocca dalle finestre in vetro.;;;;;;;;;;;;;x
barrel_factory;Fabbrica di Carri Armati;Usine de chars;Geschützrohrfabrik;;;;;;;;;;;x
