CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
AAA_anarcho_liberal_1;Partito del Libero Commercio;;;;;;;;;;;;;x
AAA_anarcho_liberal_2;Radicali;;;;;;;;;;;;;x
AAA_communist_1;Partito dei Lavoratori;;;;;;;;;;;;;x
AAA_communist_2;Internazionalisti;;;;;;;;;;;;;x
AAA_conservative_1;Lealisti;;;;;;;;;;;;;x
AAA_conservative_2;Centristi;;;;;;;;;;;;;x
AAA_conservative_3;Monarchici;;;;;;;;;;;;;x
AAA_conservative_4;Moderati;;;;;;;;;;;;;x
AAA_conservative_5;Partito Nazionaldemocratico;;;;;;;;;;;;;x
AAA_fascist_1;Fronte Patriottico;;;;;;;;;;;;;x
AAA_fascist_2;Falangisti;;;;;;;;;;;;;x
AAA_liberal_1;Partito Repubblicano;;;;;;;;;;;;;x
AAA_liberal_2;Parlamentaristi;;;;;;;;;;;;;x
AAA_liberal_3;Riformisti;;;;;;;;;;;;;x
AAA_liberal_4;Liberal Democratici;;;;;;;;;;;;;x
AAA_liberal_5;Partito Nazional-Liberale;;;;;;;;;;;;;x
AAA_reactionary_1;Tradizionalisti;;;;;;;;;;;;;x
AAA_reactionary_2;Restaurazionisti;;;;;;;;;;;;;x
AAA_socialist_1;Nazionalsocialisti;;;;;;;;;;;;;x
AAA_socialist_2;Partito del Lavoro;;;;;;;;;;;;;x
AAA_socialist_3;Partito del Popolo;;;;;;;;;;;;;x
AAA_socialist_4;Socialdemocratici;;;;;;;;;;;;;x
AAA_socialist_5;Progressisti;;;;;;;;;;;;;x
ABK_anarcho_liberal;Fazione Radicale;;;;;;;;;;;;;x
ABK_communist;Partito del Popolo di Abcasia;;;;;;;;;;;;;x
ABK_conservative;Fazione Conservatrice;;;;;;;;;;;;;x
ABK_fascist;Partito Unito di Abcasia;;;;;;;;;;;;;x
ABK_liberal;Fazione Riformista;;;;;;;;;;;;;x
ABK_reactionary;Lealisti del Bey;;;;;;;;;;;;;x
ABK_socialist;Partito Socialista;;;;;;;;;;;;;x
ABU_anarcho_liberal;Fazione Radicale;Faction radicale;Die radikale Fraktion;;;;;;;;;;;x
ABU_communist;Fazione Comunista;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;x
ABU_conservative;Consiglio degli Sceicchi;Conseil des Sheikhs;Scheichrat;;;;;;;;;;;x
