CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
anarchic_bomb_throwers;Lanciatori di Bombe Anarchici;Lanceurs de bombes anarchistes;Anarchistische Bombenleger;;Bombas anarquistas;;;;;;;;;x
desc_anarchic_bomb_throwers;Meno finanziamenti alla lotta al crimine hanno portato ad una minore capacità di agire contro minacce alla sicurezza come le rivolte anarchiche.;La baisse des dépenses consacrées à la lutte contre le crime se traduit par une moindre efficacité en termes de réponse aux atteintes à la sécurité comme les soulèvements d'anarchistes.;Weniger Geld für die Verbrechensbekämpfung führt zu einer verringerten Reaktionsfähigkeit auf Sicherheitsrisiken wie anarchistische Rebellionen.;;La poca inversión en la lucha contra la delincuencia comporta menor capacidad de responder a amenazas contra la seguridad, como los brotes anarquistas.;;;;;;;;;x
citizen_guard;Guardia Cittadina;Garde citoyenne;Bürgerwache;;Guardia ciudadana;;;;;;;;;x
desc_citizen_guard;Meno finanziamenti alla lotta al crimine hanno portato ad una minore capacità di agire contro minacce alla sicurezza come le gang della strada.;La baisse des dépenses consacrées à la lutte contre le crime se traduit par une moindre efficacité en termes de réponse aux atteintes à la sécurité tels que les combats entre gangs.;Weniger Geld für die Verbrechensbekämpfung führt zu einer verringerten Reaktionsfähigkeit auf Sicherheitsrisiken wie Straßenbanden.;;La poca inversión en la lucha contra la delincuencia comporta menor capacidad de responder a amenazas, como las peleas de bandas callejeras.;;;;;;;;;x
good_healthcare_poorly_funded;Sistema Sanitario Poco Finanziato;;;;;;;;;;;;;x
desc_good_healthcare_poorly_funded;Scarsi investimenti governativi nell'amministrazione hanno portato ad un sistema santario poco finanziato.;;;;;;;;;;;;;x
immoral_business;Attività Immorali;Activité immorale;Unmoralische Geschäfte;;Negocios inmorales;;;;;;;;;x
desc_immoral_business;A causa dell'aumento dei crimini e del minore controllo governativo, i commercianti si sono concentrati sempre di più solo sui loro profitti. Ciò ha portato ad un rischio di collasso più alto per l'intero sistema, siccome tutti considerano soltanto i propri interessi.;Avec la hausse du taux de criminalité et moins de contrôle du gouvernement, les hommes d'affaires seraient de plus en plus centrés sur leurs propres bénéfices. Il en résulte un risque accru d'effondrement de l'ensemble du système, comme tout le monde s'affaire pour ses intérêts personnels.;Mit steigenden Kriminalitätsraten und weniger Regierungskontrolle werden sich Geschäftsleute vermehrt auf ihre eigenen Profite konzentrieren. Dies führt zu einem höheren Zusammenbruchsrisiko für das gesamte System, da jeder seinen persönlichen Interessen nachgeht.;;Con el aumento de la tasa de criminalidad y el menor control gubernamental, los hombres de negocios se centraron más y más en su propio lucro. Esto comporta un gran riesgo de colapso de todo el sistema, ya que todo el mundo lucha sólo por su interés personal.;;;;;;;;;x
instigators;Istigatori Politici;;;;;;;;;;;;;x
desc_instigators;Se le istituzioni di lotta al crimine diventano sovraccariche, gli istigatori potranno girare senza controllo e eventualmente raccogliere attenzione e sopporto sufficienti per stravolgere l'ordine prestabilito.;;;;;;;;;;;;;x
kleptocrats;Cleptocrati;;;;;;;;;;;;;x
desc_kleptocrats;Cleptocrazia è un termine applicato ai governi che hanno un problema particolarmente grave con gli officiali e la classe dirigente (nel loro insieme, i cleptocrati) che utilizzano la corruzione per ampliare la loro ricchezza personale e il loro potere politico. Di solito questo sistema consiste nell'appropriazione indebita di fondi statali ai danni del resto della popolazione, a volte senza nemmeno la pretesa di un servizio onesto. Mancare di controllo istituzionale sufficiente in un paese dove la sorveglianza esterna è impossibile o non esiste significa che i burocrati diventeranno cleptocrati.;;;;;;;;;;;;;x
low_healthcare_poorly_funded;Sistema Sanitario Poco Finanziato;;;;;;;;;;;;;x
desc_low_healthcare_poorly_funded;Scarsi investimenti governativi nell'amministrazione hanno portato ad un sistema santario poco finanziato.;;;;;;;;;;;;;x
machine_politics;Clientelismo;Clientélisme;Politikmaschinerie;;Clientelismo;;;;;;;;;x
desc_machine_politics;Il sistema del clientelismo era in pratica la corruzione, principalmente di minoranze, da parte dei politici utilizzando la loro influenza. Era comune utilizzare l'assegnazione di impieghi governativi come metodo di corruzione in questo sistema.;Le système du clientélisme se traduit, par essence, par la corruption des principales minorités par les politiciens usant de leur influence. Les nominations à des postes gouvernementaux sont des moyens de corruption.;Beim Politikmaschinerie-System ging es um Bestechungsgelder, die Politiker mit Hilfe ihres Einflusses hauptsächlich Minoritäten zukommen ließen. Innerhalb dieses Systems war es gang und gäbe, Regierungsjobs zu Bestechungszwecken auszunutzen.;;Era, en esencia, el soborno de minorías importantes por parte de políticos que utilizaban su influencia sobre ellas. En este sistema era común el soborno mediante la designación a dedo para cargos públicos.;;;;;;;;;x
mafia;Mafia;Mafia;Mafia;;Mafia;;;;;;;;;x
desc_mafia;Se le istituzioni di lotta alla criminalità in una provincia diventano sovracchariche, si sviluppa crimine organizzato sotto forma di una mafia. Queste organizzazione portano ad una produttività ridotta nella provincia.;Si les institutions de lutte contre le crime d'une province sont trop sollicitées, le crime organisé se transforme en mafia. Et la productivité de la province baisse.;Wenn die Institutionen zur Verbrechensbekämpfung in einer Provinz überlastet sind, entwickelt sich organisiertes Verbrechen in Form einer Mafia. Solche Organisationen verringern die Produktion in der Provinz.;;Si las fuerzas de seguridad de una provincia estaban al límite, solía aparecer la delincuencia organizada en forma de mafias. Tales organizaciones conllevaban una merma de la productividad de la provincia.;;;;;;;;;x
rotten_boroughs;Circoscrizioni Piccole;Bourgs pourris;Rotten Boroughs;;Burgos podridos;;;;;;;;;x
