CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
cancel_internment_camps_desc;È stata attirata troppa attenzione internazionale verso $CAPITAL$ a causa della Direttiva I. Il nostro governo ha deciso che è il momento di smantellare l'apparato che agevolava la Direttiva, per scrollarci di dosso ogni dubbio internazionale sull'integrità del nostro governo. Fatto questo, per ricostruire un infrastruttura simile potrebbe volerci parecchio.;;;;;;;;;;;;;x
cancel_internment_camps_title;Revoca la Direttiva I;;;;;;;;;;;;;x
internment_camps_desc;Direttive per il procediemento dei reati commessi contro lo Stato\n\nNei territori della nostra nazione, elementi ostili si stanno adoperando contro il nostro Stato. Il numero ed il pericolo di queste macchinazioni ci obbligano a prendere misure stringenti come deterrente. Prima di tutto, le direttive seguenti sono da applicare:\nI.  Nei territori occupati, la pena adeguata per i crimini commessi contro lo Stato o la potenza occupante, le quali mettono a rischio la loro sicurezza o una condizione di prontezza, è per principio la pena di morte.\nII: I crimini elencati nel paragrafo I come legge deveono essere gestiti nei paesi occupati solo se è probabile che il reo, almeno il principale, sia condannato a morte e se il processo e l'esecuzione possono essere svolti velocemente. \nIII. I priogionieri sono sottoposti a procedura militare solo se particolari interessi militari lo richiedono. Se dei cittadini o delle autorità estera domandano riguardano questi prigionieri, si dovrà dire loro che sono stati arrestati e che le procedure non permettono ulteriori informazioni. \nIV.I comandanti e le autorità giudiziarie, nell'adempimento delle loro funzioni, sono personalmente responsabili dell'osservanza di questo decreto.\nV. Il Capo dell'Alto Comando delle Forze Armate determina in quali territori occupati si dovrà applicare questo decreto. È autorizzato a spiegare e a promulgare ordini esecutivi e supplementari. Il Ministro della Giustizia promulgherà ordini esecutivi negli ambiti di sua competenza.;;;;;;;;;;;;;x
internment_camps_title;La Direttiva I;;;;;;;;;;;;;x
internment_camps_decisions_close_desc;Riordina la schermata delle decisioni;;;;;;;;;;;;;x
internment_camps_decisions_close_title;Nascondi le Decisioni sull'Internamento;;;;;;;;;;;;;x
internment_camps_decisions_open_desc;Mostra tutte le possibili decisioni sull'internamento disponibili.;;;;;;;;;;;;;x
internment_camps_decisions_open_title;Mostra le Decisioni sull'Internamento;;;;;;;;;;;;;x
intern_african_diaspora_cultures_desc;§W«Il primo principale obiettivo di queste misure deve essere la piena segregazione delle persone appartenenti alla §YDiaspora Africana, ovvero Afroamericani, Afrocaraibici, Afrolatini, Afrobrasiliani, Afroantillani e Creoli§W, dal resto della popolazione. L'esecuzione di questa, prima di tutto, prevede il sequestro della popolazione africana tramite l'introduzione di un ordine di registrazione e simili misure appropriate. Tutti i diritti di libertà dovranno essere tolti dagli Africani. Dovranno essere spostati nei campi di internamento e, contemporaneamente, separatati in base al sesso. Questi campi di internamento possono essere messi sotto la supervisione del proprio autogoverno africano con ufficiali africani. La sorveglianza dei confini tra i campi di internamento ed il mondo esterno è, però, compito della Polizia».\n\n§YAggiungi 3 punti alla scala di "rallentamento". Dai 4 punti ogni 2 punti la velocità diminuirà del 20%.;;;;;;;;;;;;;x
