CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
1836_initial_setup_desc;Pochi cambiamenti che possono essere fatti solo in questo modo.;;;;;;;;;;;;;x
1836_initial_setup_title;IA: Disposizione del 1836;;;;;;;;;;;;;x
option_disable_anarcho_liberals_desc;Questo aggiustamento impedirà la creazione dell'ideologia anarco-liberale. Potrebbe aumentare un po' la velocità. Alcuni pensano siano troppo irrealistici per loro, quindi potrebbero voler disattivarli. Però non ho verificato se possono accadere dei problemi di bilanciamento senza di loro nel gioco.;;;;;;;;;;;;;x
option_disable_anarcho_liberals_title;Opzione: Disattiva l'Ideologia Anarco-Liberale;;;;;;;;;;;;;x
option_disable_assimilation_events_desc;Disattiva gli eventi di immigrazione nelle province come "Sapore Etnico" o "Matrimonio Misto" in quanto possono diventare fastidiosamente frequenti e non a tutti piacciono.;;;;;;;;;;;;;x
option_disable_assimilation_events_title;Opzione: Disattiva gli Eventi di Assimilazione degli Immigrati;;;;;;;;;;;;;x
option_disable_bankruptcy_events_desc;Disattivare gli eventi di bancarotta ti impedirà di ottenere il CB e gli effetti che avvengono quando un paese va in bancarotta nei tuoi confronti. Non impedirà l'evento per l'IA e non impedirà ai paesi di andare in bancarotta.;;;;;;;;;;;;;x
option_disable_bankruptcy_events_title;Opzione: Disattiva gli Eventi di Bancarotta;;;;;;;;;;;;;x
option_disable_colonial_railroading_desc;In TGC ci sono molti eventi e decisioni che aiutano sia l'IA sia il giocatore a seguire un percorso storico di colonizzazione in Africa ed in Asia. Potresti preferire di giocare senza di essi per portare ad una colonizzazione più imprevedibile.;;;;;;;;;;;;;x
option_disable_colonial_railroading_title;Opzione: Disattiva la Forzatura della Colonizzazione;;;;;;;;;;;;;x
option_disable_commiemod_desc;Il contenuto della "Commie Mod" è un po' instabile e pieno di bug al momento quindi è disattivato di base, se vuoi disperatamente provarlo puoi attivarlo qui. Sono molto benviste le segnalazioni di bug ma, perfavore, non lamentarti di come abbia rovinato la tua partita.;;;;;;;;;;;;;x
option_disable_commiemod_title;Opzione: Attiva la Commie Mod;;;;;;;;;;;;;x
option_disable_easter_eggs_desc;Gli "Easter Egg" sono eventi che non hanno impatto sul gioco in nessun modo ma servono soltanto per essere qualcosa di interessante da vedere in circostanze specifiche.;;;;;;;;;;;;;x
option_disable_easter_eggs_title;Opzione: Disattiva gli Easter Egg;;;;;;;;;;;;;x
option_disable_extra_flavour_desc;TGC ha integrato alcune submod antistoriche e strambe che permettono ai giocatori di portare la loro nazione per strade alternative non plausibile. Potresti preferire giocare senza di queste. (L'IA non prenderà mai delle importanti opzioni antistoriche indipendentemente da questa decisione);;;;;;;;;;;;;x
option_disable_extra_flavour_title;Opzione: Disattiva il Contenuto Extra;;;;;;;;;;;;;x
option_disable_hpm_crisis_desc;In TGC le crisi cominciano soltanto dopo il 1870, quando viene ricercata "Rivoluzione e Controrivoluzione" e con un evento. Questo è per impedire cose come l'Irlanda indipendente nel 1840 a causa della militanza che causa la carestia, tra le altre strane crisi. Selezionare questa opzione rimuoverà queste restrizioni e permetterà che le crisi avvengano liberamente dall'inizio del gioco, come avviene in Victoria 2 senza mod.;;;;;;;;;;;;;x
