CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
global_population_reduction1_desc;Riduci tutti i POP globalmente del 10%;;;;;;;;;;;;;x
global_population_reduction1_title;Riduzione Globale dei POP: 10%;;;;;;;;;;;;;x
global_population_reduction2_desc;Riduci tutti i POP globalmente del 20%;;;;;;;;;;;;;x
global_population_reduction2_title;Riduzione Globale dei POP: 20%;;;;;;;;;;;;;x
global_population_reduction3_desc;Riduci tutti i POP globalmente del 30%;;;;;;;;;;;;;x
global_population_reduction3_title;Riduzione Globale dei POP: 30%;;;;;;;;;;;;;x
global_population_reduction4_desc;Riduci tutti i POP globalmente del 40%;;;;;;;;;;;;;x
global_population_reduction4_title;Riduzione Globale dei POP: 40%;;;;;;;;;;;;;x
global_population_reduction5_desc;Riduci tutti i POP globalmente del 50%;;;;;;;;;;;;;x
global_population_reduction5_title;Riduzione Globale dei POP: 50%;;;;;;;;;;;;;x
global_population_reduction6_desc;Riduci tutti i POP globalmente del 60%;;;;;;;;;;;;;x
global_population_reduction6_title;Riduzione Globale dei POP: 60%;;;;;;;;;;;;;x
global_population_reduction7_desc;Riduci tutti i POP globalmente del 70%;;;;;;;;;;;;;x
global_population_reduction7_title;Riduzione Globale dei POP: 70%;;;;;;;;;;;;;x
global_population_reduction8_desc;Riduci tutti i POP globalmente del 80%;;;;;;;;;;;;;x
global_population_reduction8_title;Riduzione Globale dei POP: 80%;;;;;;;;;;;;;x
global_population_reduction9_desc;Riduci tutti i POP globalmente del 90%;;;;;;;;;;;;;x
global_population_reduction9_title;Riduzione Globale dei POP: 90%;;;;;;;;;;;;;x
