CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC100;Mentre i danni dell'alcool fanno pagare un duro prezzo al nostro popolo, distruggendo, ogni giorno con tremenda intensità, i valori morali e spirituali della nostra nazione, diviene necessario per noi unirci assieme in difesa della virtù pubblica ed educare ed elevare i poveri e gli oppressi alle virtù dell'astinenza.’\n\Infatti è da un po' che nel nostro paese si sta affrontando un aumento nel consumo di alcol. Superalcolici distillati largmamente disponibili e poco costosi, uniti alle dure condizioni di lavoro, rendono i ceti più poveri particolarmente suscettibili a questo veleno mortale. Non ci sorprende che sia stata formata una Lega $COUNTRY_ADJ$ della Temperanza.;Les ravages de l'alcool entament chaque jour, et avec une intensité grandissante le peuple ainsi que le tissu moral et l'esprit de notre nation. Il est donc impératif de nous unir pour défendre la vertu publique, d'élever et d'éduquer le pauvre et l'opprimé aux vertus de la modération.\n\nDepuis quelque temps, notre pays a affaire à une augmentation de la consommation d'alcool. Facilement accessibles et bon marché, les spiritueux distillés, en combinaison avec les conditions de travail difficiles, rendent les classes les plus pauvres particulièrement sensibles à ce poison mortel. Dans ces conditions, il est normal qu'une ligue antialcoolique $COUNTRY_ADJ$ se soit formée.;Die Grausamkeiten des Alkohols zehren mit täglich stärkerer Intensität an unserem Volk, an seiner Moral und am spirituellen Gewebe unseres nationalen Charakters. Daher ist es höchst wichtig für uns, uns zur Verteidigung der öffentlichen Tugend zusammenzuschließen und die Armen und Verzagten dem Lichte der Abstinenz zuzuführen.'\n\nDer Alkoholkonsum in unserem Land ist nun schon seit einiger Zeit permanent gestiegen. Überall und billig erhältliche Branntweine in Kombination mit harten Arbeitsbedingungen lassen die ärmeren Klassen besonders gerne zu diesem tödlichen Gift greifen. Es ist nicht überraschend, dass in $COUNTRY_ADJ$ eine Abstinenzlerliga gebildet wurde.;;;;;;;;;;;x
EVTNAME100;Lega della Temperanza;Ligue antialcoolique;Abstinenzlerliga;;;;;;;;;;;x
EVTOPTA100;Cosa c'è di sbagliato in qualche bicchiere? *hic*;Quel mal y a-t-il à boire quelques verres ? *hips*;Was ist denn so schlimm an ein paar Gläschen? *hicks*;;;;;;;;;;;x
EVTOPTB100;Un'iniziativa eccellente!;Excellente initiative !;Eine exzellente Initiative!;;;;;;;;;;;x
EVTDESC110;Oggi in una delle nostre province è stata aperta un'altra birreria, peggiorando ulteriormente la reputazione della provincia come paradiso per ubriachi, giocatori d'azzardo e vagabondi. Ora nella provincia ogni cento cittadini c'è un'osteria, un bordello, una birreria o un'altro edificio del vizio e del peccato. Anche se gli alcolici aiutano a far giorire anche il più mesto degli animi, non bisogna sottovalutare gli effetti a lungo termine di questo abuso.;Aujourd'hui, une autre brasserie a ouvert ses portes dans une de nos provinces, agrandissant sa réputation de paradis des joueurs et des ivrognes. Dans cette province, il y a maintenant, pour chaque centaine de citoyens, un saloon, un bordel, un bar, ou tout autre institution où règnent le vice et le péché. Le vin peut faire disparaître la plus mauvaise des humeurs, mais les effets dus à l'abus d'alcool ne sont pas à prendre à la légère.;Eine weitere Bierschänke wurde heute in einer unserer Provinzen eröffnet und steigert den Ruf der Provinz als Paradies für Tunichtgute, Spieler und Säufer noch weiter. Auf hundert Bürger in der Provinz kommt nun ein Saloon, Bordell, Bierhaus oder ein ähnlich lasterhafter Sündenort. Während die Geister des Weins vielleicht selbst die schlechteste Laune bessern mögen, so sind die Langzeiteffekte des Alkoholmissbrauchs nicht ins Lächerliche zu ziehen.;;;;;;;;;;;x
EVTNAME110;Apertura di una birreria;Ouverture d'une brasserie;Bierschänke eröffnet;;;;;;;;;;;x
EVTOPTA110;Alla salute!;Santé !;Prost!;;;;;;;;;;;x
EVTOPTB110;Fa pressione sul governo locale perché la chiuda;Faire pression sur le gouvernement local pour arrêter ça;Druck auf die Lokalregierung ausüben, um dem Einhalt zu gebieten;;;;;;;;;;;x
EVTDESC120;Un raid della polizia contro un bar di $PROVINCENAME$ bar ha provocato un risentimento di massa contro la polizia e le autorità locali. Gli abitanti, furiosi per la decisione della polizia di chiudere il bar, peggiorata ulteriormente da un già libero consumo di alcol, si sono riversati nelle strade compiendo ciò che si può descrivere come una furia ubriaca attraverso la città.;Une rafle policière dans un bar, en $PROVINCENAME$, a provoqué ce soir un soulèvement massif des habitants contre la police, et toute autre autorité. D'autres citoyens de la région, enflammés par la nouvelle de la fermeture du bar par la police, sont descendus dans la rue et, aidés par l'alcool, ont déferlé dans la ville comme une véritable marée d'ivrogne.;Eine Polizeirazzia gegen eine Bar in $PROVINCENAME$ heute Abend hat eine gewaltige negative Reaktion der Öffentlichkeit gegen die Polizei und andere Autoritäten hervorgerufen. Bürger, die wütend über die Entscheidung der Polizei zur Schließung der Bar und durch nicht geringen Alkoholgenuss noch weiter entflammt waren, haben die Straßen der Stadt in ein Meer trunkener Raufbolde verwandelt.;;;;;;;;;;;x
EVTNAME120;Rivolte d'ubriachi;Manifestations d'ivrognes;Trunkene Straßenschlachten;;;;;;;;;;;x
EVTOPTA120;Questi bar stanno diventando un problema;Ces saloons deviennent problématiques.;Diese Saloons werden zu einem Problem;;;;;;;;;;;x
EVTDESC130;L'indigenza e la povertà, insieme ad altre piaghe sociali provocate dalla dipendenza all'alcol, stanno diventando sempre più comuni a $PROVINCENAME$ e nell'intera regione di $STATENAME$. La temperanza locale accusa i molti locali, bar e birrerie presenti a $PROVINCENAME$, mentre altri osservatori, forse meno faziosi, indicano come fattori determinanti dietro questa epidemia la disoccupazione e le dure condizioni lavorative.;La misère et la pauvreté font partie des nombreux maux liés à l'abus d'alcool, qui atteint une consommation alarmante en $PROVINCENAME$, et qui est entrain de s'étendre à la région. Les défenseurs de l'abstinence locale mettent en cause le nombre de bars, saloons et brasseries établies en $PROVINCENAME$, alors que d'autres, peut-être plus observateurs, accusent le chômage et les conditions de travail, seuls responsables de cette sur-consommation d'alcool.;Armut, Verzweiflung und andere Sozialkrankheiten, die durch Alkoholabhängigkeit entstehen, werden immer verbreiteter in $PROVINCENAME$ und in der gesamten Region von $STATENAME$. Lokale Abstinenzbefürworter beschuldigen die große Menge an Etablissements, Bars und Bierschänken in $PROVINCENAME$, während andere, vielleicht weniger parteiische Beobachter, Arbeitslosigkeit und harte Arbeitsbedingungen als Hauptfaktoren für die Epidemie diagnostizieren.;;;;;;;;;;;x
EVTNAME130;Indigenza e povertà;Misère et pauvreté;Armut & Verzweiflung;;;;;;;;;;;x
EVTOPTA130;Chiudi i bar!;Qu'on ferme les bars !;Schließt die Bars!;;;;;;;;;;;x
EVTOPTB130;Non possiamo far nulla per il momento;Nous ne pouvons rien faire pour le moment.;Wir können im Moment nicht handeln;;;;;;;;;;;x
EVTDESC140;Alcuni membri del movimento della temperanza oggi hanno picchettato un bar a $PROVINCENAME$, sostenendo che l'alcol venduto dall'edificio fosse responsabile della distruzione di un'infinità di case, matrimoni, finestre, nasi e vite in tutta la regione. I dimostranti chiedono, senza mezzi termini, che l'edificio sia chiuso e solo la presenza della polizia sul posto ha impedito che i manifestanti compissero da soli quell'azione.;Les membres du mouvement de modération ont manifesté devant un saloon à $PROVINCENAME$ aujourd'hui, en faisant valoir que l'alcool servie par l'institution est responsable de nombreux foyers brisés, des mariages brisés et de vies brisées partout dans $STATENAME$.Les grévistes ont exigé, en termes non équivoques, que l'institution soit fermée, et seule une présence policière sur les lieux a empêché les grévistes de fermer eux-mêmes l’endroit.;Mitglieder der Abstinenzlerbewegung demonstrierten heute vor einem Saloon in $PROVINCENAME$ und behaupteten, dass der dort ausgeschenkte Alkohol an unzähligen kaputten Familien, Ehen, Fenstern, Nasen und Leben in ganz $STATENAME$ Schuld habe. Die Demonstranten verlangten in klaren Worten die Schließung des Etablissements, und nur eine Polizeitruppe vor Ort konnte sie daran hindern, die Sache in ihre eigenen Hände zu nehmen.$STATENAME$.;;;;;;;;;;;x
EVTNAME140;Bar picchettato;Saloon bloqué;Demonstration vor Saloon;;;;;;;;;;;x
EVTOPTA140;Ordina di chiudere il bar;Ordonner la fermeture du saloon;Saloon schließen;;;;;;;;;;;x
EVTOPTB140;Le persone dovrebbero essere libere di bere;Les gens devraient être libres de boire.;Die Leute haben ein Recht auf ein Gläschen;;;;;;;;;;;x
EVTDESC150;Perciò non è nella natura di un uomo dalla fede vera e sincera spendere la sua vita consumandosi sotto il giogo di un vizio opprimente. Dobbiamo ambire al miglioramento di noi stessi, e delle nostre comunità, espellendo da esse, una volta per tutte, la pernciosa influenza dello spirito nella bottiglia e, invece, alzare gli occhi verso lo spirito in cielo.’\n\nIl movimento della temperanza ha ottenuto fama nei circoli religiosi $COUNTRY_ADJ$ e un incontro tenuto oggi in uno dei nostri stati è l'espressione chiara di quel sentimento.;Car ce n'est pas dans la nature d'un véritable homme et sa foi est perturbée, car l’homme perd son temps dans le carcan d’un vice oppressif et débridé. Nous devons nous efforcer d'améliorer le sort de nous-mêmes et de notre communauté, en expulsant de leur part, une fois pour toutes, l'influence pernicieuse de l'esprit de la bouteille, et élevons nos yeux, plutôt, à l'esprit du ciel.\n\n Le mouvement de modération a gagné du terrain en $COUNTRY_ADJ$ dans les cercles religieux, et une réunion qui s'est tenue dans l’une de nos provinces est une preuve de rapprochement entre les religieux et la ligue de modération.;Denn es liegt nicht in der Natur eines Menschen von echtem, ungetrübtem Glauben, sein Leben in den Fesseln eines unterdrückenden und ungebremsten Lasters zu vergeuden. Wir müssen uns selber und unsere Gemeinden zur Besserung führen, indem wir ein für allemal den garstigen Einfluss des Geistes in der Flasche vernichten und unsere Augen stattdessen dem heiligen Geist im Himmel entgegenheben. '\n\nDie Abstinenzbewegung bekommt in den $COUNTRY_ADJ$ Religionskreisen immer mehr Einfluss. Eine Zeltversammlung, die man in einem unserer Staaten abhält, ist eine starke Bestätigung dieses Trends.;;;;;;;;;;;x
EVTNAME150;Temperanza religiosa;Religion et lutte contre l'alcoolisme;Religiöse Abstinenz;;;;;;;;;;;x
EVTOPTA150;È un buon momento per la Lega delle Temperanza;C'est le moment d'agir pour la ligue antialcoolique.;Ein angebrachter Moment für die Abstinenz;;;;;;;;;;;x
EVTOPTB150;La Lega della Temperanza dovrà attendere un momento migliore;La ligue antialcoolique devrait attendre le bon moment.;Die Abstinenzlerbewegung sollte auf den rechten Moment warten;;;;;;;;;;;x
EVTDESC160;Influenzato dall'intensa pressione della Lega della Temperanza, uno dei nostri stati ha adottato una nuova regolazione delle licenza che garantisce ai residenti il diritto di distribuire o ritirare le licenze per la vendità del liquore nei loro distretti locali. Visto il forte supporto pubblica, la "Legge sulle licenze" ha così proibito la vendità di liquore in tutto lo stato. A molte birrerie locali è stato negato il diritto di vendere i loro prodotti e sono perciò finite in bancarotta.;Influencé par un intense lobbying de la ligue de modération, une de nos province a adopté un règlement relatif aux licences qui permet aux résidents le droit de délivrer ou de retirer des permis d'alcool dans leurs districts. Avec un soutien public important, la loi sur les licences interdit donc la vente d'alcool dans tout l'État. Beaucoup de brasseries locales se sont vues refuser le droit de vendre leurs produits, et ont été acculées à la faillite.;Beeinflusst durch intensives Lobbying der Abstinenzlerbewegung hat einer unserer Staaten ein Lizenzgesetz verabschiedet, das den Bürgern das Recht zugesteht, Alkohollizenzen in ihren Distrikten zurückzuziehen. Mit starker öffentlicher Unterstützung hat das Lizenzgesetz somit den Verkauf von Alkohol im gesamten Staat unterbunden. Vielen lokalen Brauereien wurde das Recht entzogen, ihre Produkte lokal zu verkaufen, was sie in den Bankrott trieb.;;;;;;;;;;;x
EVTNAME160;Legge sulle licenze;La loi sur les octrois de licences;Lizenzgesetz;;;;;;;;;;;x
EVTOPTA160;La popolazione locale è libera di fare ciò che le sembra giusto;Les populations locales sont libres de faire ce qui leur semble juste.;Lokale Bürger können tun, was sie wollen;;;;;;;;;;;x
EVTOPTB160;Obbligali ad abrogare la legge!;Faire pression pour abroger la loi !;Erzwingt eine Rückgängigmachung des Gesetzes!;;;;;;;;;;;x
