CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
animist_country;Paese Animista;;;;;;;;;;;;;x
bektashi_country;Paese Bektashi;;;;;;;;;;;;;x
catholic_country;Paese Cattolico;;;;;;;;;;;;;x
coptic_country;Paese Copto;;;;;;;;;;;;;x
gelugpa_country;Paese Gelugpa;;;;;;;;;;;;;x
hindu_country;Paese Indù;;;;;;;;;;;;;x
ibadi_country;Paese Ibadi;;;;;;;;;;;;;x
jewish_country;Paese Ebreo;;;;;;;;;;;;;x
mahayana_country;Paese Mahayana;;;;;;;;;;;;;x
mormon_country;Paese Mormone;;;;;;;;;;;;;x
orthodox_country;Paese Ortodosso;;;;;;;;;;;;;x
protestant_countr;Paese Protestante;;;;;;;;;;;;;x
shiite_country;Paese Sciita;;;;;;;;;;;;;x
shinto_country;Paese Scintoista;;;;;;;;;;;;;x
sikh_country;Paese Sikh;;;;;;;;;;;;;x
sunni_country;Paese Sunnita;;;;;;;;;;;;;x
theravada_country;Paese Theravada;;;;;;;;;;;;;x
yazidi_country;Paese Yazidi;;;;;;;;;;;;;x
