CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
african_integration_policy;Integrazione Africana Promulgata;;;;;;;;;;;;;x
berlin_conference;Conferenza di Berlino Tenuta;;;;;;;;;;;;;x
civilizing_congo;Civilizzazione del Congo;;;;;;;;;;;;;x
direct_immigration;Immigrazione Diretta Attiva;;;;;;;;;;;;;x
dual_monarchy;È l'Austria-Ungheria;;;;;;;;;;;;;x
france;È la Francia;;;;;;;;;;;;;x
FRA_willem_i_alliance;Alleanza Franco-Olandese;;;;;;;;;;;;;x
had_liberal_revolution;Ha Avuto la Rivoluzione Liberale;;;;;;;;;;;;;x
german_confederation_member;Membro della Confederazione Tedesca;;;;;;;;;;;;;x
in_great_war;Combattente della Grande Guerra;;;;;;;;;;;;;x
IOCMember;Membro del Comitato Olimpico Internazionale;;;;;;;;;;;;;x
is_swiss;È la Svizzera;;;;;;;;;;;;;x
islamic_law;Legge Islamica;;;;;;;;;;;;;x
lacking_writing_system;Non Ha un Sistema di Scrittura;;;;;;;;;;;;;x
liberal_revolution_fired;Rivoluzione Liberale Avvenuta;;;;;;;;;;;;;x
liberal_revolution_in_progress;Rivoluzione Liberale in Corso;;;;;;;;;;;;;x
liberal_revolution_somewhere;Rivoluzione Liberale in Corso Altrove;;;;;;;;;;;;;x
liberal_revolutions_should_now_fire;Rivoluzione Liberale Imminente;;;;;;;;;;;;;x
native_assimilation_enacted;Assimilazione Nativa Promulgata;;;;;;;;;;;;;x
new_world_nation;Nazione del Nuovo Mondo;;;;;;;;;;;;;x
pol_reform_blocker;Blocco alle Riforme Politiche;;;;;;;;;;;;;x
post_colonial_country;Ex-Colonia;;;;;;;;;;;;;x
PRU_willem_i_alliance;Alleanza Prusso-Olandese;;;;;;;;;;;;;x
serfdom_not_abolished;Servitù non Abolita;;;;;;;;;;;;;x
slave_revolution;Rivoluzione di Schiavi;;;;;;;;;;;;;x
soc_reform_blocker;Blocco alle Riforme Sociali;;;;;;;;;;;;;x
the_slavery_debate;Il Dibattito sulla Schiavitù;;;;;;;;;;;;;x
using_foreign_ships;Navi Straniere in Uso;;;;;;;;;;;;;x
using_foreign_shipyards;Cantieri Navali Stranieri in Uso;;;;;;;;;;;;;x
using_foreign_weapons;Armi Straniere in Uso;;;;;;;;;;;;;x
using_foreign_artillery;Artiglieria Straniera in Uso;;;;;;;;;;;;;x
vote_reform_blocker;Blocco alle Riforme sul Voto;;;;;;;;;;;;;x
yes_to_congo;Voto Favorevole alla Questione del Congo;;;;;;;;;;;;;x
zaire_master;Possiede il Congo;;;;;;;;;;;;;x
