CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
africa;Africa;Afrique;Afrika;;;;;;;;;;;x
asia;Asia;Asie;Asien;;;;;;;;;;;x
australia_new_zealand;Oceania;;;;;;;;;;;;;x
central_africa;Africa Equatoriale;;;;;;;;;;;;;x
east_africa;Africa Orientale;;;;;;;;;;;;;x
east_indies;Indie Orientali;;;;;;;;;;;;;x
europe;Europa;Europe;Europa;;;;;;;;;;;x
indochina;Indocina;;;;;;;;;;;;;x
north_america;Nord America;Nord Amérique;Nordamerika;;;;;;;;;;;x
oceania;Medio Oriente;;;;;;;;;;;;;x
polynesia;Isole del Pacifico;Océanie;Ozeanien;;;;;;;;;;;x
south_america;Sud America;Sud Amérique;Südamerika;;;;;;;;;;;x
south_west_africa;Africa Sudoccidentale;;;;;;;;;;;;;x
west_africa;Africa Occidentale;;;;;;;;;;;;;x
