CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
PROV1;Novo-Archangelsk;;;;;;;;;;;;;x
PROV2;Redut Svjatogo-Dionisja;;;;;;;;;;;;;x
PROV3;Novorossiysk;;;;;;;;;;;;;x
PROV4;Pavlovskaja Gavan;;;;;;;;;;;;;x
PROV5;Unalaška;;;;;;;;;;;;;x
PROV6;Yukon River;;;;;;;;;;;;;x
PROV7;Pelly River;;;;;;;;;;;;;x
PROV8;Kuala Kelantan;;;;;;;;;;;;;x
PROV9;Mistassini Post;;;;;;;;;;;;;x
PROV10;San Khew Jong;;;;;;;;;;;;;x
PROV11;Fort Resolution;;;;;;;;;;;;;x
PROV12;Liwa;;;;;;;;;;;;;x
PROV13;Fort Langley;;;;;;;;;;;;;x
PROV14;Vancouver Island;;;;;;;;;;;;;x
PROV15;Port Simpson;;;;;;;;;;;;;x
PROV16;Fort McLeod;;;;;;;;;;;;;x
PROV17;Teslin Post;;;;;;;;;;;;;x
PROV18;Fort St. John;;;;;;;;;;;;;x
PROV19;Fort St. James;;;;;;;;;;;;;x
PROV20;Fort Kamloops;;;;;;;;;;;;;x
PROV21;Kootenae House;;;;;;;;;;;;;x
PROV22;Rocky Mountain House;;;;;;;;;;;;;x
PROV23;Fort Assiniboine;;;;;;;;;;;;;
PROV24;Milk River;;;;;;;;;;;;;x
PROV25;Fort Edmonton;;;;;;;;;;;;;x
PROV26;Chesterfield Inlet;;;;;;;;;;;;;x
PROV27;Repulse Bay;;;;;;;;;;;;;x
PROV28;Capo Dorset;;;;;;;;;;;;;x
PROV29;Deserto di Kyzylkum;;;;;;;;;;;;;x
PROV30;Cypress Hills;;;;;;;;;;;;;x
PROV31;Fort Fond du Lac;;;;;;;;;;;;;x
PROV32;Fort Carlton;;;;;;;;;;;;;x
PROV33;Spence Bay;;;;;;;;;;;;;x
PROV34;Fort Pitt;;;;;;;;;;;;;x
PROV35;Fort Reliance;;;;;;;;;;;;;x
