CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
arctic;Tundra;;;;;;;;;;;;;x
arctic_hills;Tundra Collinare;;;;;;;;;;;;;x
arctic_steppe;Steppa Artica;;;;;;;;;;;;;x
boreal;Taiga;;;;;;;;;;;;;x
boreal_hills;Taiga Collinare;;;;;;;;;;;;;x
canal_kiel;Terreni Coltivati;;;;;;;;;;;;;x
canal_nicaragua;Giungla Montana;;;;;;;;;;;;;x
canal_panama;Giungla Montana;;;;;;;;;;;;;x
canal_suez;Deserto;;;;;;;;;;;;;x
coastal_desert;Deserto Costiero;;;;;;;;;;;;;x
coral_island;Atollo;;;;;;;;;;;;;x
desert;Deserto;;;;;;;;;;;;;x
desert_island;Isola Deserta;;;;;;;;;;;;;x
desert_sand;Deserto Sabbioso;;;;;;;;;;;;;x
dry_island;Dry Tropical Island;;;;;;;;;;;;;x
dry_mountains;Macchia Montana;;;;;;;;;;;;;x
dryhills;Deserto Collinare;;;;;;;;;;;;;x
farmland_forest;Terreni Coltivati Boschivi;;;;;;;;;;;;;x
farmland_hills;Terreni Coltivati Collinari;;;;;;;;;;;;;x
farmlands;Terreni Coltivati;;;;;;;;;;;;;x
floodplain_farmland;Terreni Coltivati Allagati;;;;;;;;;;;;;x
floodplain_savanna;Prateria Allagata;;;;;;;;;;;;;x
forest;Foresta di Caducifoglie;;;;;;;;;;;;;x
forest_conifer;Foresta di Conifere;;;;;;;;;;;;;x
forest_dry;Foresta Arida;;;;;;;;;;;;;x
forest_hills;Foresta Mista Collinare;;;;;;;;;;;;;x
forest_island;Foresta Insulare;;;;;;;;;;;;;x
forest_mixed;Foresta Mista;;;;;;;;;;;;;x
forest_pine;Pineta;;;;;;;;;;;;;x
forest_pine_oak;Pino-querceto;;;;;;;;;;;;;x
forest_savanna;Forested Savanna;;;;;;;;;;;;;x
forest_scrub;Foresta a Macchia;;;;;;;;;;;;;x
forest_steppe;Steppa Forestale;;;;;;;;;;;;;x
hills;Prateria Collinare;;;;;;;;;;;;;x
himalayan_mountains;Montagne dell'Himalaya;;;;;;;;;;;;;x
ice_sheet;Calotta di Ghiaccio;;;;;;;;;;;;;x
island_farmlands;Terreni Coltivati Insulari;;;;;;;;;;;;;x
