CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
able;Abile;Capable;Fähig;;;;;;;;;;;x
active_p;Attivo;Actif;Aktiv;;;;;;;;;;;x
adventurer;Avventuriero §G+2 Attacco;Aventurier;Abenteurer;;;;;;;;;;;x
aggressive;Aggressivo §W§W+1 Attacco;Agressif;Aggressiv;;;;;;;;;;;x
amateur;Dilettante §R-1 Difesa;Amateur;Amateur;;;;;;;;;;;x
aristocrat;Aristocratico;Aristocrate;Aristokrat;;;;;;;;;;;x
armchair_general;Generale da Poltrona;Général de façade;Sesselgeneral;;;;;;;;;;;x
arrogant;Arrogante;Arrogant;Arrogant;;;;;;;;;;;x
artillerist;Artigliere §W+1 Difesa;Artilleur;Artillerist;;;;;;;;;;;x
au_fait;Ben Informato §B+3 Attacco;Au fait;Sicher;;;;;;;;;;;x
audacious;Audace §G+2 Attacco §G+2 Difesa;Audacieux;Kühn;;;;;;;;;;;x
aweless;Sbalorditivo;Casse-cou;Respektlos;;;;;;;;;;;x
balanced_p;Equilibrato §W+1 Difesa;Pondéré;Ausgewogen;;;;;;;;;;;x
ballsy;Sfacciato;Valeureux;Forsch;;;;;;;;;;;x
bastard;Bastardo §R-1 Difesa;Goujat;Bastard;;;;;;;;;;;x
bg_engineer;Ingegnere;;;;;;;;;;;;;x
bigoted;Bigotto;Sectaire;Engstirnig;;;;;;;;;;;x
bold;Audace §W+1 Attacco;Téméraire;Mutig;;;;;;;;;;;x
bootlicker;Leccapiedi §W+1 Difesa;Lèche-bottes;Speichellecker;;;;;;;;;;;x
brash;Impudente §W+1 Attacco;Impudent;Forsch;;;;;;;;;;;x
brilliant;Brillante;Brillant;Brilliant;;;;;;;;;;;x
brownnoser;Leccaculo §W+1 Attacco;Lèche-cul;Stiefellecker;;;;;;;;;;;x
brutish;Brutale §W+1 Attacco;Brutal;Brutal;;;;;;;;;;;x
bureaucrat_speed;Velocità Burocratica;Vitesse de bureaucrate;Bürokratische Geschwindigkeit;;;;;;;;;;;x
butcher;Macellaio;Boucher;Schlächter;;;;;;;;;;;x
calm;Calmo §R-1 Attacco;Calme;Ruhig;;;;;;;;;;;x
careful;Prudente;Attentif;Sorgsam;;;;;;;;;;;x
careless;Incosciente;Négligent;Achtlos;;;;;;;;;;;x
cartographer;Cartografo;Cartographe;Kartograf;;;;;;;;;;;x
cautious;Cauto §B+3 Difesa;Prudent;Vorsichtig;;;;;;;;;;;x
cavalry_school;Scuola di Cavalleria §G+2 Attacco;École de cavalerie;Kavallerieschule;;;;;;;;;;;x
charismatic;Carismatico;Charismatique;Charismatisch;;;;;;;;;;;x
chickenhearted;Fifone §R-2 Attacco;Poltron;Ängstlich;;;;;;;;;;;x
chivalrous;Cavalleresco §G+2 Attacco;Courtois;Ritterlich;;;;;;;;;;;x
choleric;Colerico §W+1 Attacco;Colérique;Cholerisch;;;;;;;;;;;x
clever;Furbo;Adroit;Clever;;;;;;;;;;;x
clueless;Ignorante §R-1 Difesa;Ignorant;Ahnungslos;;;;;;;;;;;x
colonial_b;Coloniale §R-2 Difesa;Colonial;Kolonial;;;;;;;;;;;x
competent;Competente;Compétent;Kompetent;;;;;;;;;;;x
confident;Sicuro;Confiant;Sicher;;;;;;;;;;;x
coolminded;Freddo §G+2 Difesa;Serein;Bedachtsam;;;;;;;;;;;x
corrupt;Corrotto;Corrompu;Korrupt;;;;;;;;;;;x
coward;Codardo;Couard;Kleinmütig;;;;;;;;;;;x
craven;Pavido;Veule;Mutlos;;;;;;;;;;;x
cursed_luck;Sfortunato §G+2 Attacco §G+2 Difesa;Malchanceux;Vom Pech verflucht;;;;;;;;;;;x
daring;Ardito §B+3 Attacco;Hardi;Draufgängerisch;;;;;;;;;;;x
dauntless;Temerario;Déterminé;Unverzagt;;;;;;;;;;;x
debutante;Debuttante;Débutant;Debütant;;;;;;;;;;;x
decisive;Risoluto;;;;;;;;;;;;;x
deeply_religious;Profondamente Religioso §R-1 Attacco -1 Difesa;Très croyant;Tief religiös;;;;;;;;;;;x
defiant;Sprezzante §B+3 Difesa;Provocateur;Trotzig;;;;;;;;;;;x
diligent;Diligente;;;;;;;;;;;;;x
diplomat;Diplomatico;Diplomate;Diplomat;;;;;;;;;;;x
diplomatic;Diplomatico;Diplomate;Diplomatisch;;;;;;;;;;;x
disciplined;Disciplinato §G+2 Attacco;Discipliné;Diszipliniert;;;;;;;;;;;x
disgraced;Disgraziato;Déshonoré;In Ungnade Gefallener;;;;;;;;;;;x
disorderly;Disordinato;Désordonné;Unordentlich;;;;;;;;;;;x
doughty;Coraggioso;Vaillant;Tapfer;;;;;;;;;;;x
drillmaster;Istruttore;Sergent instructeur;Zuchtmeister;;;;;;;;;;;x
earnest;Coscienzioso;Sérieux;Ernsthaft;;;;;;;;;;;x
eccentric_genius;Genio Eccentrico §G+2 Attacco;Génie excentrique;Exzentrisches Genie;;;;;;;;;;;x
efficient;Efficiente §G+2 Attacco;Efficace;Effizient;;;;;;;;;;;x
elderly;Anziano;Âgé;Älter;;;;;;;;;;;x
expert;Esperto;Expert;Experte;;;;;;;;;;;x
expert_raider;Incursore Esperto §G+2 Attacco;Commando expérimenté;Überfallexperte;;;;;;;;;;;x
exranker;Ex Generale;Ancien militaire;Ex-Gefreiter;;;;;;;;;;;x
fanatic;Fanatico;Fanatique;Fanatisch;;;;;;;;;;;x
gallant;Galante;Courageux;Galant;;;;;;;;;;;x
generals_aide;Assistente del Generale §W+1 Difesa;Aide de camp;Generalsadjutant;;;;;;;;;;;x
gifted_administrator;Amministratore Dotato;Administrateur doué;Begabter Administrator;;;;;;;;;;;x
glory_hound;Ambizioso;Ambitieux;Ruhmsüchtig;;;;;;;;;;;x
gutsy;Impavido §W+1 Difesa;Brave;Waghalsig;;;;;;;;;;;x
harsh;Duro §W+1 Attacco§! §W+1 Difesa;Dur;Harsch;;;;;;;;;;;x
hated;Odiato §W+1 Attacco§! §W+1 Difesa;Odieux;Gehasst;;;;;;;;;;;x
hellbent;Determinato;Acharné;Draufgänger;;;;;;;;;;;x
heroic;Eroico;Héroïque;Heroisch;;;;;;;;;;;x
immoral;Immorale;Immoral;Unmoralisch;;;;;;;;;;;x
imperious;Imperioso §W+1 Attacco §R-2 Difesa;Autoritaire;Herrisch;;;;;;;;;;;x
impetuous;Impetuoso §R-2 Difesa;Impétueux;Ungestüm;;;;;;;;;;;x
implacable;Implacabile;Implacable;Unerbittlich;;;;;;;;;;;x
impulsive;Impulsivo;Impulsif;Impulsiv;;;;;;;;;;;x
incapable;Incapace;Incapable;Unfähig;;;;;;;;;;;x
incompetent;Incompetente;Incompétent;Inkompetent;;;;;;;;;;;x
indifferent;Indifferene;Indifférent;Gleichgültig;;;;;;;;;;;x
inefficient;Inefficiente §R-2 Attacco;Inefficace;Ineffizient;;;;;;;;;;;x
inept;Inetto §R-1 Attacco;Inepte;Untauglich;;;;;;;;;;;x
innovative_tactician;Tattico Innovativo §W+1 Attacco;Tacticien novateur;Innovativer Taktiker;;;;;;;;;;;x
inspiring;Motivatore;Stimulant;Inspirierend;;;;;;;;;;;x
intelligent;Intelligente;Intelligent;Intelligent;;;;;;;;;;;x
intuitive;Intuitivo;Intuitif;Intuitiv;;;;;;;;;;;x
irate;Iracondo §W+1 Attacco;Furieux;Aufbrausend;;;;;;;;;;;x
keen;Entusiasta;Enthousiaste;Gewitzt;;;;;;;;;;;x
lackluster;Fiacco;Terne;Lustlos;;;;;;;;;;;x
lilylivered;Cagasotto §R-2 Attacco;Froussard;Feige;;;;;;;;;;;x
madman;Scriteriato;Fou;Irrer;;;;;;;;;;;x
maladroit;Maldestro;Maladroit;Unbeholfen;;;;;;;;;;;x
manful;Valoroso;Ardent;Männlich;;;;;;;;;;;x
mediocre;Mediocre;Médiocre;Mittelmäßig;;;;;;;;;;;x
megalomaniac;Megalomane §R-2 Attacco;Mégalomane;Megalomane;;;;;;;;;;;x
merciless;Spietato §G+2 Attacco §G+2 Difesa;Impitoyable;Gnadenlos;;;;;;;;;;;x
meticulous;Meticoloso §B+3 Attacco §B+3 Difesa;Méticuleux;Genau;;;;;;;;;;;x
nationalist;Nazionalista §W+1 Attacco;;;;;;;;;;;;;x
natural_born_leader;Comandante Nato §W+1 Attacco;Leader naturel;Geborener Anführer;;;;;;;;;;;x
no_background §R-2 Attacco §R-2 Difesa;Nessuna Formazione;Aucun(e);Nichts;;;;;;;;;;;x
no_personality;Nessuna Personalità;Aucune;Nichts;;;;;;;;;;;x
old_school;Vecchia Scuola §W+1 Attacco §R-2 Difesa;Vieille école;Alte Schule;;;;;;;;;;;x
openminded;di Ampie Vedute;Ouvert d'esprit;Offen;;;;;;;;;;;x
pawn;Pedina;Pion;Pfand;;;;;;;;;;;x
persistant;Persistente;Persévérant;Hartnäckig;;;;;;;;;;;x
perverse;Perverso;Entêté;Pervers;;;;;;;;;;;x
pessimist;Pessimista;;;;;;;;;;;;;x
pisspoor;Terribile §R-2 Attacco;Pitoyable;Arm;;;;;;;;;;;x
poet;Poeta §R-1 Attacco;Poète;Poet;;;;;;;;;;;x
polite;Educato;Poli;Höflich;;;;;;;;;;;x
politician;Politico;Politicien;Politiker;;;;;;;;;;;x
powerful_friends;Amici Potenti;Amis puissants;Mächtige Freunde;;;;;;;;;;;x
priest;Prete;Prêtre;Priester;;;;;;;;;;;x
professor;Professore §R-1 Attacco §R-2 Difesa;Professeur;Professor;;;;;;;;;;;x
pusillanimous;Pusillanime;Pusillanime;Verzagt;;;;;;;;;;;x
relentless;Implacabile §G+2 Attacco;Implacable;Unbarmherzig;;;;;;;;;;;x
reserved;Chiuso §R-1 Attacco;Réservé;Reserviert;;;;;;;;;;;x
