CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
artillery;Artiglieria;Artillerie;Artillerie;;;;;;;;;;;x
artillery_short;Art.;Art.;Art;;;;;;;;;;;x
battleship;Nave da Battaglia;;Kampfschiff;;;;;;;;;;;x
battleship_short;NdB;;;;;;;;;;;;;x
cavalry;Cavalleria;Cavalerie;Kavallerie;;;;;;;;;;;x
cavalry_short;Cav.;Cav.;Kav;;;;;;;;;;;x
clipper_transport;Clipper;Clipper;Klipper-Transporter;;;;;;;;;;;x
clipper_transport_short;C.;C.;CT;;;;;;;;;;;x
commerce_raider;Predone Commerciale;Commerce raider;Handelszerstörer;;;;;;;;;;;x
commerce_raider_short;PC;CR;HP;;;;;;;;;;;x
cruiser;Incrociatore;Croiseur;Kreuzer;;;;;;;;;;;x
cruiser_short;Inc.;Cr.;KR;;;;;;;;;;;x
cuirassier;Corazziere;Cuirassier;Kürassier;;;;;;;;;;;x
cuirassier_short;Cor.;Cuir.;Kür;;;;;;;;;;;x
dragoon;Dragone;Dragon;Dragoner;;;;;;;;;;;x
dragoon_short;Dra.;Dra.;Dra;;;;;;;;;;;x
dreadnought;Dreadnought;Cuirassé lourd;Dreadnought;;;;;;;;;;;x
dreadnought_short;Dre.;Cuir.L.;DN;;;;;;;;;;;x
engineer;Geniere;Génie;Pionier;;;;;;;;;;;x
engineer_short;Gen.;Gén.;Pio;;;;;;;;;;;x
frigate;Fregata;Frégate;Fregatte;;;;;;;;;;;x
frigate_short;FR.;FR.;FR;;;;;;;;;;;x
guard;Guardia;Garde;Garde;;;;;;;;;;;x
guard_short;Gua.;Gar.;Gar;;;;;;;;;;;x
hussar;Ussaro;Hussard;Husar;;;;;;;;;;;x
hussar_short;Uss.;Hus.;Hus;;;;;;;;;;;x
infantry;Fanteria;Infanterie;Infanterie;;;;;;;;;;;x
infantry_short;Fant.;Inf.;Inf;;;;;;;;;;;x
ironclad;Corazzata;Patrouilleur;Panzerschiff;;;;;;;;;;;x
ironclad_short;Cor.;Patr.;IC;;;;;;;;;;;x
irregular;Irregolare;Irrégulier;Freischärler;;;;;;;;;;;x
irregular_short;Irr.;Irr.;Frsch;;;;;;;;;;;x
manowar;Man-of-War;Man'o'War;Kriegsschiff;;;;;;;;;;;x
manowar_short;MoW;MW.;MW;;;;;;;;;;;x
monitor;Monitore;Patrouilleur lourd;Monitor;;;;;;;;;;;x
monitor_short;Mon.;Patr.L.;MO;;;;;;;;;;;x
plane;Aeroplano;Avion;Flugzeug;;;;;;;;;;;x
plane_short;Aer.;Av.;Luft;;;;;;;;;;;x
steam_transport;Nave da Trasporto a Vapore;Steamer;Dampf-Transporter;;;;;;;;;;;x
steam_transport_short;NTV;S.;DT;;;;;;;;;;;x
tank;Blindato;Blindé;Panzer;;;;;;;;;;;x
tank_short;Blin.;Blin.;Pz;;;;;;;;;;;x
