CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
aborigine;Aborigena;Aborigène;Aborigine;;;;;;;;;;;x
acadian;Acadiana;;;;;;;;;;;;;x
afar;Afar;Afar;Afar;;;;;;;;;;;x
african_minor;Africana dei Piccoli Stati;Africain (petits États);Afrikanische Kleinstaaten;;;;;;;;;;;x
afro_american;Afro-Americana;Afro-américain;Afroamerikanisch;;;;;;;;;;;x
afro_antillean;Afro-Caribéena;;;;;;;;;;;;;x
afro_brazilian;Afro-Braziliana;Afro-brésilien;Afrobrasilianisch;;;;;;;;;;;x
afro_caribbean;Afro-Caraibica;Afro-caraïbe;Afrokaribisch;;;;;;;;;;;x
afro_caribeno;Afrocaribeña;;;;;;;;;;;;;x
aimara;Aymara;Aymara;Aimara;;;;;;;;;;;x
ainu;Ainu;Aïnou;Ainu;;;;;;;;;;;x
akan;Akan;Akan;Akan;;;;;;;;;;;x
alaskan;Alaskana;;;;;;;;;;;;;x
alawites;Alawita;;;;;;;;;;;;;x
albanian;Albanese;Albanais;Albanisch;;;;;;;;;;;x
aleut;Aleutina;;;;;;;;;;;;;x
amazonian;Amazzonica;Amazonien;Amazonisch;;;;;;;;;;;x
ambundu;Ambundu;;;;;;;;;;;;;x
amhara;Amhara;Amharique;Amhara;;;;;;;;;;;x
andanamese;Andanamese;;;;;;;;;;;;;x
anglo_canadian;Anglo-Canadese;Anglo-canadien;Anglokanadisch;;;;;;;;;;;x
anglo_indian;Anglo-Indiana;;;;;;;;;;;;;x
anishinaabe;Chippewa;;;;;;;;;;;;;x
apache;Apache;;;;;;;;;;;;;x
arawak;Aruache;;;;;;;;;;;;;x
argentinian;Argentina;;;;;;;;;;;;;x
armenian;Armena;Arménien;Armenisch;;;;;;;;;;;x
arpitan;Arpitana;;;;;;;;;;;;;x
ashkenazi;Ashkenazita;Ashkénaze;Aschkenasisch;;;;;;;;;;;x
asian_minor;Asiatica dell'Asia Minore;Asiatique (Asie mineure);Asiatische Kleinstaaten;;;;;;;;;;;x
assamese;Assamese;Assamais;Assamisch;;;;;;;;;;;x
assyrian;Assira;;;;;;;;;;;;;x
athabaskan;Athabaska;;;;;;;;;;;;;x
australian;Australasiatica;;;;;;;;;;;;;x
avadhi;Avadhi;Avadhi;Avadhi;;;;;;;;;;;x
avars;Avara;;;;;;;;;;;;;x
azande;Azande;Zandé;Azande;;;;;;;;;;;x
azerbaijani;Azera;;;;;;;;;;;;;x
baganda;Baganda;Baganda;Baganda;;;;;;;;;;;x
baguirmi;Badan;;;;;;;;;;;;;x
bakongo;Bakongo;Bakongo;Bakongo;;;;;;;;;;;x
baluchi;Beluci;Baloutche;Baluchisch;;;;;;;;;;;x
bambara;Bambara;Bambara;Bambara;;;;;;;;;;;x
basque;Basca;Basque;Baskisch;;;;;;;;;;;x
bedouin;Beduina;Bédouin;Beduinisch;;;;;;;;;;;x
beifaren;Han del Nord;;;;;;;;;;;;;x
beja;Beja;Bedja;Beja;;;;;;;;;;;x
bengali;Bengalese;Bengali;Bengalisch;;;;;;;;;;;x
berber;Berbera;Berbère;Berber;;;;;;;;;;;x
bihari;Bihari;Bihari;Bihari;;;;;;;;;;;x
blackfoot;Piedi Neri;;;;;;;;;;;;;x
boer;Afrikaner;;;;;;;;;;;;;x
bolivian;Boliviana;;;;;;;;;;;;;x
bosniak;Bosgnacca;Bosniaque;Bosnisch;;;;;;;;;;;x
brazilian;Braziliana;Brésilien;Brasilianisch;;;;;;;;;;;x
breton;Bretone;Breton;Bretonisch;;;;;;;;;;;x
british;Inglese;;;;;;;;;;;;;x
bulgarian;Bulgara;Bulgare;Bulgarisch;;;;;;;;;;;x
burmese;Birmana;Birman;Burmesisch;;;;;;;;;;;x
byelorussian;Bielorussa;Biélorusse;Weißrussisch;;;;;;;;;;;x
cajun;Cajun;;;;;;;;;;;;;x
californian;Indiana Californiana;;;;;;;;;;;;;x
carib;Caribica;;;;;;;;;;;;;x
caribeno;Caribena;Caribe;Caribeno;;;;;;;;;;;x
catalan;Catalana;Catalan;Katalanisch;;;;;;;;;;;x
central_american;Centroamericana;Centre-américain;Mittelamerikanisch;;;;;;;;;;;x
chechen;Cecena;;;;;;;;;;;;;x
cherokee;Cherokee;Cherokee;Cherokee;;;;;;;;;;;x
chewa;Chewa;Chichewa;Chewa;;;;;;;;;;;x
cheyenne;Cheyenne;;;;;;;;;;;;;x
chibchan;Guaymí;;;;;;;;;;;;;x
chickasaw;Chickasaw;;;;;;;;;;;;;x
chilean;Cilena;;;;;;;;;;;;;x
chipewyan;Chipewyan;;;;;;;;;;;;;x
choctaw;Choctaw;;;;;;;;;;;;;x
chokwe;Chokwe;;;;;;;;;;;;;x
circassian;Circassa;;;;;;;;;;;;;x
coastal_indian;Indiana della Costa Nordiorientale;;;;;;;;;;;;;x
colombian;Colombiana;;;;;;;;;;;;;x
comanche;Comanche;;;;;;;;;;;;;x
copt;Copta;;;;;;;;;;;;;x
cossack;Cosacca;;;;;;;;;;;;;x
cree;Cree;Cri;Cree;;;;;;;;;;;x
croat;Croata;Croate;Kroatisch;;;;;;;;;;;x
crow;Crow;;;;;;;;;;;;;x
cushitic;Cuscitica;;;;;;;;;;;;;x
czech;Ceca;Tchèque;Tschechisch;;;;;;;;;;;x
dagestani;Nogai;;;;;;;;;;;;;x
dakota;Sioux;;;;;;;;;;;;;x
danish;Danese;Danois;Dänisch;;;;;;;;;;;x
dargins;Dargin;;;;;;;;;;;;;x
dayak;Dajak;Dayak;Dayak;;;;;;;;;;;x
dinka;Dinka;Dinka;Dinka;;;;;;;;;;;x
dixie;Dixie;Dixie;Dixie;;;;;;;;;;;x
dutch;Olandese;Néerlandais;Niederländisch;;;;;;;;;;;x
druzes;Drusa;;;;;;;;;;;;;x
dyula;Dyula;Dioula;Dyula;;;;;;;;;;;x
east_kwa;Kwa;;;;;;;;;;;;;x
ecuadorian;Ecuadoregna;;;;;;;;;;;;;x
edo;Edo;Edo;Edo;;;;;;;;;;;x
estonian;Estone;Estonien;Estnisch;;;;;;;;;;;x
ewe;Ewe;Ewe;Ewe;;;;;;;;;;;x
fang;Fang;Fang;Fang;;;;;;;;;;;x
filipino;Filippina;Philippin;Filipino;;;;;;;;;;;x
finnish;Finlandese;Finlandais;Finnisch;;;;;;;;;;;x
flemish;Fiamminga;Flamand;Flämisch;;;;;;;;;;;x
fon;Fon;Fon;Fon;;;;;;;;;;;x
forest_bantu;Bantu Equatoriale;;;;;;;;;;;;;x
formosan;Formosana;;;;;;;;;;;;;x
french;Francese;Français;Französisch;;;;;;;;;;;x
french_australian;Franco-Australasiatico;;;;;;;;;;;;;x
french_canadian;Franco-Canadese;Franco-canadien;Frankokanadisch;;;;;;;;;;;x
frisian;Frisa;;;;;;;;;;;;;x
fuegian;Fuegina;;;;;;;;;;;;;x
fulbe;Fulbe;Fulbe;Fulbe;;;;;;;;;;;x
fur;Fur;Fur;Fur;;;;;;;;;;;x
galician;Galiziana;;;;;;;;;;;;;x
georgian;Georgiana;Géorgien;Georgisch;;;;;;;;;;;x
greek;Greca;Grec;Griechisch;;;;;;;;;;;x
griqua;Meticci del Capo;;;;;;;;;;;;;x
guarani;Guaraní;Guarani;Guarani;;;;;;;;;;;x
gujarati;Gujarati;Gujrati;Gujarati;;;;;;;;;;;x
gur;Gur;;;;;;;;;;;;;x
gypsy;Romaní;;;;;;;;;;;;;x
haida;Haida;;;;;;;;;;;;;x
hakka;Hakka;Hakka;Hakka;;;;;;;;;;;x
han_chinese;Han;;;;;;;;;;;;;x
hanhui;Hui;;;;;;;;;;;;;x
harari;Harari;;;;;;;;;;;;;x
hausa;Hausa;Haoussa;Hausa;;;;;;;;;;;x
hawaiian;Hawaiiana;Hawaïen;Hawaiianisch;;;;;;;;;;;x
hazara;Hazara;Hazaréen;Hazara;;;;;;;;;;;x
herero;Ovambo;Héréro;Herero;;;;;;;;;;;x
hungarian;Ungherese;Hongrois;Ungarisch;;;;;;;;;;;x
ibibio;Ibibio;Ibibio;Ibibio;;;;;;;;;;;x
ibo;Ibo;Ibo;Ibo;;;;;;;;;;;x
icelandic;Islandese;Islandais;Isländisch;;;;;;;;;;;x
innu;Innu;;;;;;;;;;;;;x
inuit;Inuit;Inuit-Yup’ik;Inuit-Yup’ik;;;;;;;;;;;x
irish;Irlandese;Irlandais;Irisch;;;;;;;;;;;x
iroquois;Irochese;;;;;;;;;;;;;x
itsekari;Ijaw;;;;;;;;;;;;;x
japanese;Giapponese;Japonais;Japanisch;;;;;;;;;;;x
javan;Giavanese;Javanais;Javanisch;;;;;;;;;;;x
kachin;Kachin;Kachin;Kachin;;;;;;;;;;;x
kanauji;Kanauji;Kanauji;Kanauji;;;;;;;;;;;x
kannada;Kannada;Kannara;Kannada;;;;;;;;;;;x
kanuri;Kanuri;Kanuri;Kanuri;;;;;;;;;;;x
karen;Karen;Karen;Karen;;;;;;;;;;;x
karamanlides;Karamanlida;;;;;;;;;;;;;x
