CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
animist;Animisti;Animistes;Animistisch;;;;;;;;;;;x
bektashi;Musulmani Alevi;Alevi Muslim;Alevi Muslim;;;;;;;;;;;x
catholic;Cattolici;Catholiques;Katholisch;;;;;;;;;;;x
confucian;Confuciani;;;;;;;;;;;;;x
coptic;Copti;;;;;;;;;;;;;x
druze;Drusi;;;;;;;;;;;;;x
gelugpa;Buddisti Vajrayana;Gelugpa;Gelugpa;;;;;;;;;;;x
hindu;Hindu;Hindous;Hindu;;;;;;;;;;;x
ibadi;Musulmani Ibadi;Ibadi Muslim;Ibadi Muslim;;;;;;;;;;;x
jewish;Ebrei;Juifs;Jüdisch;;;;;;;;;;;x
mahayana;Buddisti Mahayana;Mahayana;Mahayana;;;;;;;;;;;x
mormon;Mormoni;;;;;;;;;;;;;x
orthodox;Ortodossi;Orthodoxes;Orthodox;;;;;;;;;;;x
protestant;Protestanti;Protestants;Protestantisch;;;;;;;;;;;x
shiite;Musulmani sciiti;Shia Muslim;Shia Muslim;;;;;;;;;;;x
shinto;Scintoisti;Shintoïstes;Shinto;;;;;;;;;;;x
sikh;Sikh;Sikhs;Sikh;;;;;;;;;;;x
sunni;Musulmani Sunniti;Sunni Muslim;Sunni Muslim;;;;;;;;;;;x
theravada;Buddisti Theravada;Theravada;Theravada;;;;;;;;;;;x
yazidi;Yazidi;;;;;;;;;;;;;x
