CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
aristocrats;Proprietari Terrieri;;;;;;;;;;;;;x
artisans;Artigiani;;;;;;;;;;;;;x
bureaucrats;Burocrati;;;;;;;;;;;;;x
capitalists;Capitalisti;;;;;;;;;;;;;x
clergymen;Intellettuali;;;;;;;;;;;;;x
clerks;Impiegati;;;;;;;;;;;;;x
craftsmen;Operai;;;;;;;;;;;;;x
farmers;Contadini;;;;;;;;;;;;;x
labourers;Braccianti;;;;;;;;;;;;;x
nomads;Nomadi;;;;;;;;;;;;;x
officers;Ufficiali;;;;;;;;;;;;;x
pioneers;Pionieri;;;;;;;;;;;;;x
post_revolt_bureau;Apparatchiks;;;;;;;;;;;;;x
serfs;Servi;;;;;;;;;;;;;x
slaves;Schiavi;;;;;;;;;;;;;x
soldiers;Soldati;;;;;;;;;;;;;x
tribals;Tribali;;;;;;;;;;;;;x
