CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
army_tech_school;Complesso Militare-Industriale;;;;;;;;;;;;;x
chinese_tech_school;I Tre Principi del Popolo;;;;;;;;;;;;;x
commerce_tech_school;Scuola Commerciale e Capitalismo dei Magnati;;;;;;;;;;;;;x
culture_tech_school;Avanguardismo Intellettuale;;;;;;;;;;;;;x
czech_tech_school;Fabbriche Škoda;;;;;;;;;;;;;x
industrial_tech_school;Industrialismo Corporativo;;;;;;;;;;;;;x
japanese_tech_school;Dottrina Shukensen-Riekisen;;;;;;;;;;;;;x
naval_tech_school;Potere Marittimo e Marina Mercantile;;;;;;;;;;;;;x
prussian_tech_school;Junker, Heer e Krupp;;;;;;;;;;;;;x
unciv_tech_school;Accademia in Sviluppo;;;;;;;;;;;;;x
